group,has_location,created_date,default_profile,favourites_count_std,tweets_mean,tweets_std,tweets_median,tweets_max,retweets_mean,retweets_std,retweets_median,retweets_max,replies_mean,replies_std,replies_max,quoted_mean,quoted_max,most_frequent_source,text_len_mean,text_len_std,text_len_median,text_len_max,text_len_min,text_tokens_mean,text_tokens_std,text_tokens_median,text_tokens_max,text_tokens_min,hashtags_std,hashtags_max,urls_mean,urls_std,urls_median,urls_min,mentions_mean,mentions_std,mentions_median,mentions_max,mentions_min,medias_max,medias_min,overall,universal
0,0.0,0.08023683135973866,1.0,0.0,0.060479307328237183,0.05160209817952535,0.020194048765217874,0.14124138320132162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5928562158220746,0.6137734229892083,0.2800689922228876,0.5950570342205324,0.6235294117647059,0.328125,0.5121192039681105,0.2750485706059031,0.5277777777777777,0.4081632653061224,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.0,0.0430788076766027,1.0,0.0,0.08270325761836278,0.07570612620545772,0.035224913199066024,0.13732452765961306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555999548534716,0.5906802567734357,0.23168599679055701,0.5703422053231939,0.6088235294117647,0.41796875,0.4823481627628285,0.24096155302525052,0.48148148148148145,0.4081632653061224,0.2962962962962963,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,0.0,0.15730910575745205,1.0,0.0,0.07922219703327622,0.058722331218032386,0.02114383322967138,0.14064742266014751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507445174225957,0.6283108826855428,0.29632769771694134,0.5874524714828897,0.6235294117647059,0.36328125,0.5243201595074414,0.28857158321181303,0.5,0.4183673469387754,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0
3,0.0,0.0995304205798285,1.0,0.0,0.06766860358419405,0.05542563822193161,0.023102296273992344,0.10861012666338485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47902093103633975,0.6425619397232389,0.27029695973629125,0.6159695817490495,0.6205882352941177,0.33203125,0.523838995394279,0.28587348514300903,0.5092592592592593,0.4081632653061224,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,0.0,0.08605553287055942,1.0,0.0,0.06274158203782733,0.05082931036961781,0.02655065134309744,0.1144928403892412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507445174225957,0.6257470928197187,0.27991453008952094,0.5912547528517111,0.6235294117647059,0.3671875,0.5134240014458703,0.288970898305985,0.5092592592592593,0.4081632653061224,0.2962962962962963,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,1.0
5,0.0,0.04205798285014292,1.0,0.0,0.0449759514223871,0.0423842083606395,0.015704385194402218,0.1100604866356043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507445174225957,0.6251954810133165,0.22297394565169593,0.6045627376425856,0.6235294117647059,0.359375,0.5117167819574072,0.2575763665843458,0.5,0.4285714285714285,0.2777777777777778,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6,0.0,0.10432829726418946,1.0,0.0,0.06534966366512193,0.05811296728460206,0.029206807109174112,0.12436619401520255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5065598384201655,0.6160980885430136,0.24559264323601254,0.6216730038022814,0.6176470588235293,0.3828125,0.49626622978180296,0.24970970030302028,0.5,0.4081632653061224,0.2962962962962963,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
7,0.0,0.08248264597795019,1.0,0.0,0.058712994730094156,0.06356551883675529,0.016830540396021304,0.12727986107088107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49494899418637267,0.6081720859881348,0.3008108723370721,0.5893536121673004,0.588235294117647,0.33984375,0.4916991502268994,0.28777554839881236,0.5185185185185185,0.37755102040816324,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8,0.0,0.0328705594120049,1.0,0.0,0.030393425237503893,0.031206450134591716,0.012564300532887134,0.11021542670040224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507445174225957,0.6278541248719203,0.3090346505565083,0.6197718631178708,0.6235294117647059,0.30859375,0.5089990360865113,0.3022238527241402,0.5185185185185185,0.4285714285714285,0.25925925925925924,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9,1.0,0.17405063291139242,1.0,0.0,0.06137880653131009,0.055595889418788125,0.020539222590554046,0.1084545250673557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7003194265329105,0.6229642621267948,0.2684085655517324,0.6007604562737643,0.6235294117647059,0.37109375,0.505631686074032,0.2850248912492782,0.5185185185185185,0.4081632653061224,0.2962962962962963,0.0,0.0,0.25140712945590993,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
