week,m,f,unknown
1,1232459,1686718,3475862
2,1392124,1785672,3797519
3,1827641,2001304,4278984
4,1717633,1991737,4246029
5,1035920,1330335,2880383
6,1066439,1198021,2635239
7,1064048,1152795,2485566
8,713231,1047869,2240552
9,709995,967509,2068398
10,601931,842642,1817427
11,993932,1174763,2511707
12,704884,849547,1853964
13,821894,1084162,2311520
14,658263,799817,1758605
15,523905,595260,1384744
16,696104,687550,1621214
17,421432,443404,1078040
18,343618,385803,872722
19,253637,316070,699313
20,307791,407883,908525
21,285555,371509,824340
22,356959,368781,891962
23,292561,323739,748991
24,220208,237211,595221
25,293418,309492,716650
26,325698,314957,715184
27,244815,255316,566061
28,168875,182052,450906
29,258351,238529,591669
30,261661,272146,637494
31,270165,258302,590395
32,313357,329215,760408
33,387782,363065,831695
34,400192,388859,882249
35,364839,318892,740879
36,418315,447217,965520
