week,DF,PE,SC,RJ,AL,GO,BA,AC,PR,MA,RS,CE,PB,PA,RN,SP,PI,MG,TO,AM,AP,MT,ES,MS,RO,SE,RR
1,25373,29515,28255,25243,14128,19430,22447,1961,33892,11519,18915,49259,5367,7692,13390,55955,25405,27780,1322,11261,2044,5175,12151,4707,2490,4621,737
2,26789,30039,29594,26539,14243,20695,23322,2118,35150,11989,19661,50933,5663,7896,13663,58857,25490,29736,1464,11057,2161,5295,13072,5030,2828,4675,748
3,26749,30909,29316,26706,14164,20351,23466,2148,34706,11909,19316,51106,5612,7948,13908,58314,25969,29009,1378,11083,2123,5369,13158,5029,2770,4803,728
4,27057,32275,29392,27418,14239,20876,24859,2139,36415,12235,19598,52689,5899,7952,14094,60545,26704,30233,1510,11074,2145,5656,13763,5355,2838,4990,800
5,23819,27978,25130,22768,12176,17496,20862,1835,30624,10164,17013,44314,5001,6685,12133,51198,22193,25434,1187,9349,2117,4716,11678,4474,2416,4313,697
6,22040,24153,23051,20483,11172,16275,19665,1615,28354,9226,15170,39926,4791,6197,10786,48379,20778,23537,1133,9186,1858,4639,11062,4131,2408,3708,655
7,20312,22443,20102,17782,9979,15058,17827,1565,26118,8010,13572,36881,4345,5600,10190,43194,19321,21716,1014,7911,1651,4303,9880,3665,2152,3532,635
8,20092,21228,20090,17946,9471,15119,17764,1444,27021,7996,14155,35460,4218,5298,10027,42366,19076,21465,1030,7371,1520,4391,9895,3706,2185,3382,583
9,18824,20639,20521,16199,9103,14716,17030,1412,26461,7311,14547,34922,3952,4920,9881,40824,19232,20684,964,6863,1382,4455,9220,3441,1928,3357,588
10,18834,18641,18125,15539,8241,14766,15903,1366,24019,6622,13116,32593,3773,4517,9071,37286,17566,19628,881,6158,1325,4164,8760,3150,1917,3153,517
11,20345,21611,21234,15571,9651,15849,18894,1442,28446,7131,15008,37905,4324,5016,10810,43758,20321,21927,1000,7261,1526,4596,9015,3455,1902,3697,498
12,17855,18137,19607,14121,7846,14002,15745,1345,24646,6104,12887,32518,3661,4255,9244,37145,17539,18913,835,5489,1232,4053,8282,3102,1834,3125,471
13,20160,20158,23115,16673,8838,15870,17572,1481,28010,7409,16356,36795,4172,4715,10344,43135,20441,22034,990,6421,1316,4517,9269,3653,2090,3399,513
14,17205,17087,19432,13819,7301,13116,14855,1214,22850,5944,12541,30936,3493,3855,8533,35276,16611,17887,822,5386,1068,3702,7608,2944,1718,2800,427
15,13914,13612,15795,10563,5966,10691,12323,997,19458,4768,10589,25964,2798,3195,7113,29652,14381,15208,686,4222,861,2947,6120,2293,1461,2342,381
16,15019,14850,16026,11069,6740,11793,13361,1039,20541,4942,10589,27635,3011,3316,7464,31907,14549,15832,721,4861,917,3260,6313,2368,1467,2497,331
17,12026,11023,12381,8533,4641,9315,10267,837,15615,3636,8360,20474,2285,2468,5817,23853,10917,12460,577,3324,677,2530,5106,1921,1206,2163,261
