week,tweets,retweets,users,0,1,2,3,4,5,6
1,6395039,6395039,1965871,777058,782255,943118,1089265,878707,968978,955658
2,6975315,6975315,851433,839226,854117,903741,972794,1155643,1207235,1042559
3,8107929,8107929,569293,888486,1158032,1126199,1144489,1096377,1421191,1273155
4,7955399,7955399,473949,1345825,1376497,1310380,1231069,1039387,945282,706959
5,5246638,5246638,297603,919359,867090,782169,715145,707793,631370,623712
6,4899699,4899699,304700,749408,637515,569412,718578,633875,675626,915285
7,4702409,4702409,215744,806112,798992,792418,600434,566887,552373,585193
8,4001652,4001652,187213,613268,591356,612144,572900,580663,541348,489973
9,3745902,3745902,169093,590467,689735,581996,548228,488437,415542,431497
10,3262000,3262000,145460,491728,534271,477406,430152,419948,478779,429716
11,4680402,4680402,184664,445682,858110,1352989,708676,477571,416844,420530
12,3408395,3408395,134713,414942,450265,459276,597986,524867,447965,513094
13,4217576,4217576,142362,589145,879996,647720,626042,537656,460314,476703
14,3216685,3216685,113452,410496,470085,539714,534126,519714,411557,330993
15,2503909,2503909,88937,397469,360016,319671,291687,300960,351493,482613
16,3004868,3004868,99175,506218,430888,506073,484317,431640,363715,282017
17,1942876,1942876,75957,333946,262209,242393,227113,308224,332293,236698
18,1602143,1602143,68273,215767,302960,336267,152529,236408,268003,90209
19,1269020,1269020,54735,358911,317751,29353,,55699,221462,285844
20,1624199,1624199,73873,223324,262211,275866,220224,218131,217536,206907
21,1481404,1481404,69688,239723,260093,230499,241713,204861,130857,173658
22,1617702,1617702,73183,292556,243824,308352,204789,222722,195144,150315
23,1365291,1365291,58770,187987,170809,225387,264370,228616,154575,133547
24,1052640,1052640,51202,162327,145747,149079,150503,144678,150058,150248
25,1319560,1319560,56785,162454,220721,220640,181216,222600,166765,145164
26,1355839,1355839,56588,180516,178320,388598,196149,151332,122712,138212
27,1066192,1066192,52613,131015,166893,180113,155597,145152,139995,147427
28,801833,801833,42188,137807,108240,94919,112290,107513,128027,113037
29,1088549,1088549,52444,165923,188211,137366,142263,169116,137132,148538
30,1171301,1171301,54839,152794,176283,217089,180134,138449,102072,204480
31,1118862,1118862,52333,199570,170429,154396,135719,172547,151599,134602
32,1402980,1402980,57874,218851,255736,251266,212686,154665,140544,169232
33,1582542,1582542,58875,286498,290815,239478,202084,203033,190605,170029
34,1671300,1671300,62153,209634,185644,234667,255479,251686,231639,302551
35,1424610,1424610,53688,229680,171672,184833,151473,179365,258609,248978
36,1831052,1831052,73605,270632,258380,265013,422514,262529,179860,172124
