week,DF,PE,SC,RJ,AL,GO,BA,AC,PR,MA,RS,CE,PB,PA,RN,SP,PI,MG,TO,AM,AP,MT,ES,MS,RO,SE,RR
1,692,935,459,347,470,406,803,54,644,194,255,1464,157,200,423,1246,782,537,22,280,67,93,246,53,31,167,17
2,693,948,459,355,454,420,782,54,648,190,259,1459,149,200,400,1241,746,536,17,282,58,91,254,49,32,161,16
3,745,954,496,380,484,439,828,58,689,195,272,1546,170,210,439,1341,818,552,18,285,68,95,260,56,27,173,17
4,744,1010,492,389,490,441,873,54,727,205,267,1557,164,210,448,1345,826,554,20,267,65,99,261,58,29,176,15
5,660,849,417,319,416,381,769,51,611,165,225,1373,150,177,395,1124,732,489,19,253,63,84,238,50,28,155,13
6,677,867,436,340,426,387,757,48,610,177,244,1404,133,176,401,1188,747,484,18,244,60,89,239,47,30,145,14
7,657,815,420,320,422,374,755,51,622,164,219,1355,137,178,389,1136,715,495,19,233,57,76,225,57,30,138,14
8,578,710,366,289,363,325,660,43,539,147,181,1163,127,143,361,1006,635,445,15,195,52,75,206,43,27,125,10
9,576,686,360,281,345,328,641,45,538,124,185,1099,115,132,329,961,636,442,18,183,50,75,202,43,24,124,15
10,562,650,354,272,332,306,662,41,484,122,192,1115,112,132,325,928,620,405,17,184,45,66,187,38,23,126,9
11,665,853,451,320,410,420,812,51,667,174,250,1460,149,171,415,1175,773,521,15,225,56,90,228,60,31,155,10
12,560,660,368,244,309,324,640,40,503,121,183,1142,116,132,335,947,627,396,12,160,47,70,180,47,28,118,11
13,569,716,387,267,348,334,677,42,554,128,202,1172,127,139,344,989,691,436,12,174,47,80,197,50,33,139,11
14,519,632,350,235,333,297,596,39,475,117,166,1060,106,125,307,909,620,375,11,164,44,66,176,43,25,115,10
15,490,589,326,214,300,277,550,45,461,124,162,980,90,105,315,827,605,377,11,147,43,55,161,35,27,112,11
16,513,629,351,238,317,305,571,42,492,128,181,1031,107,124,307,873,604,389,12,163,45,67,171,42,26,111,12
17,400,456,257,183,229,222,452,35,329,90,126,727,81,79,249,622,444,295,11,110,30,46,138,33,16,90,9
18,387,445,228,172,235,226,438,34,347,86,111,779,83,85,244,647,437,269,8,108,23,46,126,25,21,83,9
19,327,382,209,159,197,193,393,29,291,80,89,630,64,74,193,557,375,232,7,98,30,48,122,24,13,75,7
20,367,401,213,163,206,179,392,34,350,83,101,710,70,69,215,580,413,262,7,110,28,37,129,33,15,73,6
21,342,356,197,160,194,182,357,25,302,75,98,653,59,73,196,543,399,234,9,116,23,41,108,31,15,68,6
22,304,389,208,156,192,161,373,26,300,79,100,698,68,76,217,531,384,256,10,116,31,37,111,29,13,72,6
23,362,449,238,181,233,215,428,29,344,88,116,783,70,82,221,629,477,256,9,126,31,45,104,28,18,86,7
24,290,333,186,131,206,170,318,27,267,72,83,580,59,52,174,485,371,210,12,95,30,42,86,21,13,56,6
25,297,320,209,136,177,152,347,25,295,71,85,611,57,56,192,503,377,228,6,84,31,35,93,21,10,58,7
26,352,442,251,179,250,203,407,33,347,84,128,744,73,84,226,671,456,259,7,110,32,50,113,28,9,67,8
27,269,340,198,128,199,159,324,26,267,62,96,589,65,71,189,486,345,195,7,91,34,36,84,22,8,68,7
28,209,266,180,103,163,117,307,24,208,50,83,471,55,53,159,375,315,147,6,76,25,32,74,24,15,49,2
29,297,341,206,130,186,159,343,25,306,80,105,616,62,61,193,513,360,215,7,92,31,36,97,21,13,63,6
30,268,337,199,140,193,147,341,22,305,64,109,589,64,46,191,504,363,212,5,92,34,34,109,21,9,58,4
31,304,350,228,147,201,156,374,22,328,64,123,645,69,62,203,509,424,208,4,88,22,36,99,23,11,74,4
32,325,372,216,146,205,173,363,26,343,73,124,644,67,74,219,567,413,242,7,85,30,35,117,23,8,79,5
33,396,491,260,203,254,240,465,29,377,98,140,841,86,90,251,691,507,309,11,107,32,48,146,38,13,109,8
34,376,454,257,197,249,222,428,30,364,87,137,782,81,81,228,659,461,284,9,107,31,49,131,32,14,97,7
35,326,443,220,164,218,188,400,28,329,92,108,720,78,74,212,588,442,230,8,115,27,37,116,25,14,92,5
36,351,456,247,171,236,214,414,25,361,91,120,811,84,82,246,679,470,269,10,137,34,47,139,28,14,89,6
