week_no,DF,PE,SC,RJ,AL,GO,BA,AC,PR,MA,RS,CE,PB,PA,RN,SP,PI,MG,TO,AM,AP,MT,ES,MS,RO,SE,RR
1,598,693,547,344,304,416,653,23,702,178,240,1225,106,152,353,1522,572,527,27,276,46,114,244,90,43,109,15
2,646,711,563,371,333,428,667,25,723,183,254,1267,114,164,368,1606,585,554,25,287,53,122,245,94,45,117,17
3,691,792,612,388,352,476,718,25,797,207,275,1382,118,186,394,1757,631,603,27,308,57,132,282,104,45,128,17
4,699,802,624,402,370,478,740,28,810,224,284,1430,127,185,396,1825,654,619,24,319,58,137,280,108,53,131,16
5,635,708,557,355,320,417,664,26,718,177,246,1261,105,160,351,1538,596,524,22,284,53,125,243,87,40,122,15
6,650,679,526,355,300,399,648,23,701,189,212,1223,100,159,341,1492,594,504,21,275,56,105,245,89,41,112,11
7,656,699,554,358,310,431,692,21,739,194,214,1273,107,158,357,1531,606,559,22,278,54,121,262,90,45,106,14
8,590,612,467,306,279,372,584,18,664,162,201,1100,88,137,317,1338,523,460,23,236,52,104,223,75,39,97,12
9,604,620,491,329,280,388,601,21,698,160,204,1136,97,146,319,1366,547,500,25,251,47,113,231,86,49,95,13
10,575,590,460,312,259,354,580,21,625,139,181,1046,89,128,292,1266,509,462,18,228,39,107,217,68,38,97,12
11,696,738,568,364,341,458,733,24,814,200,234,1323,114,183,369,1608,628,572,21,296,59,137,274,91,55,120,10
12,569,610,494,308,268,365,604,21,651,139,191,1075,81,125,302,1334,530,466,15,213,48,115,199,71,45,105,13
13,572,606,498,314,274,381,600,21,689,174,199,1071,92,123,293,1313,511,494,22,222,47,110,215,76,52,100,12
14,520,555,482,292,244,354,549,20,664,154,178,990,90,123,282,1207,492,472,18,215,41,106,195,66,45,89,11
15,466,486,414,250,222,293,467,18,580,122,160,887,74,104,242,1053,417,376,17,193,38,89,161,57,35,75,9
16,561,582,473,310,266,373,557,22,677,163,185,1018,84,124,282,1283,491,475,23,228,37,111,204,70,48,82,8
17,461,489,409,260,216,314,492,19,614,137,158,894,72,108,247,1052,398,420,16,178,38,91,180,64,40,87,10
18,456,433,373,244,212,286,434,18,543,125,144,837,69,95,224,968,385,366,16,168,32,85,153,51,38,71,7
19,348,368,311,207,157,224,368,14,467,105,127,677,56,69,198,801,293,297,15,132,31,61,124,36,26,57,6
20,368,374,301,204,166,234,370,12,461,103,124,687,61,78,204,801,307,306,15,137,26,67,131,41,29,62,8
21,361,392,287,204,159,215,354,16,445,100,121,686,55,71,186,742,313,304,11,144,28,62,133,45,38,58,5
22,366,346,292,191,155,217,342,14,448,91,119,661,48,77,185,755,287,281,14,145,28,71,124,43,32,58,7
23,330,323,259,171,159,207,327,15,407,98,114,622,49,73,176,682,280,261,12,143,26,53,134,34,25,61,5
24,326,321,265,173,157,211,311,12,409,83,102,602,46,67,172,665,267,249,8,127,24,53,108,37,24,40,6
25,369,374,313,203,179,217,355,14,448,93,114,656,54,78,192,830,305,302,17,140,29,56,125,44,25,55,7
26,370,363,309,207,178,225,344,13,439,104,105,658,50,85,191,831,289,308,15,138,30,49,129,39,29,52,7
27,314,323,270,162,163,187,311,14,403,87,103,576,49,73,171,694,258,267,12,116,24,44,110,35,32,42,4
28,270,272,244,125,115,163,275,12,341,61,80,508,33,47,143,556,222,216,7,84,22,36,89,32,22,41,3
29,325,322,281,176,156,200,304,11,408,86,97,637,47,70,167,749,282,265,9,121,28,56,115,38,28,44,7
30,306,275,271,167,129,185,309,11,372,78,106,592,39,49,174,683,251,251,12,114,28,57,109,35,24,51,4
31,309,307,263,170,123,192,317,13,393,94,96,562,41,48,177,658,249,258,10,105,28,46,112,33,25,49,5
32,327,315,271,188,139,205,338,13,433,87,106,608,44,57,191,809,303,288,11,119,27,44,119,34,29,52,5
33,368,345,294,186,151,203,354,13,449,97,123,681,61,72,201,809,324,288,15,134,23,50,132,43,27,46,3
34,359,358,314,200,172,215,354,17,454,98,116,707,51,77,191,794,310,307,13,126,30,57,126,44,26,52,6
35,364,375,312,203,166,202,357,12,461,101,109,692,56,67,198,854,311,296,11,135,26,52,130,37,30,59,5
36,341,353,302,212,159,224,357,19,443,106,113,709,61,69,208,858,311,317,12,138,23,63,138,45,30,62,6
